entity_id,iso3,display_code,panel_total_order,total_wss_price_usd_m3,panel_component_order,water_price_usd_m3,wastewater_price_usd_m3,regression_weight,regression_total_price_usd_m3
MEX,MEX,MEX,1,0.49,,,,1,0.49
KOR,KOR,KOR,2,0.77,2,0.60,0.30,1,0.77
PRT,PRT,PRT,3,1.23,13,1.20,0.50,1,1.23
GRC,GRC,GRC,4,1.40,7,1.00,0.50,1,1.40
ITA,ITA,ITA,5,1.45,4,0.80,0.70,1,1.45
CAN,CAN,CAN,6,1.58,1,0.50,0.50,1,1.58
JPN,JPN,JPN,7,1.85,,,,1,1.85
ESP,ESP,ESP,8,1.92,5,0.90,0.50,1,1.92
NZL,NZL,NZL,9,1.98,3,0.70,1.20,1,1.98
HUN,HUN,HUN,10,2.02,10,1.00,1.10,1,2.02
POL,POL,POL,11,2.12,6,0.90,1.20,1,2.12
CZE,CZE,CZE,12,2.43,14,1.30,1.20,1,2.43
AUS,AUS,AUS,13,2.44,11,1.20,1.30,1,2.44
CHE,CHE,CHE,14,3.13,12,1.20,1.90,1,3.13
SWE,SWE,SWE,15,3.59,,,,1,3.59
FRA,FRA,FRA,16,3.74,18,2.00,1.80,1,3.74
GBR_EW,GBR,GBR-E&W,17,3.82,17,1.80,2.00,60.3,3.82
BEL_WAL,BEL,BEL-Wall.,18,3.92,20,2.40,0.80,3.7,3.92
BEL_FLA,BEL,BEL-Fla.,19,4.14,15,1.70,0.80,8.0,4.14
FIN,FIN,FIN,20,4.41,16,1.70,2.70,1,4.41
GBR_SCO,GBR,GBR-SCO,21,5.72,23,2.60,3.10,5.4,5.72
DNK,DNK,DNK,22,6.70,,,,1,6.70
AUT,AUT,AUT,,,8,1.00,0.00,,
LUX,LUX,LUX,,,9,1.00,0.00,,
NLD,NLD,NLD,,,19,2.30,0.00,,
BEL_BRU,BEL,Bel-Brus,,,21,2.40,0.80,,
DEU,DEU,DEU,,,22,2.50,1.10,,
